code,car_models
009179-0,535iA M Sport 3.0 24V 306cv Bi-Turbo
009180-4,X3 XDRIVE 20i 2.0/X-Line Bi-TB Flex Aut.
009181-2,M6 Coupe 4.4 Bi-Turbo V8 32V
009182-0,335i 3.0 Active 3 (Híbrido)
009183-9,528iA M Sport 2.0 Turbo 16V 245cv 4p
009184-7,335iA M Sport 3.0 24V 306cv 4p
009185-5,320iA GT Sport 2.0 Turbo 16V 184cv 5p
009186-3,M6 Gran Coupe 4.4 Bi-Turbo V8 32V 560cv
009187-1,328iA GT M Sport 2.0 Turbo 16V 245cv 5p
009188-0,650i Gran Coupe 4.4 V8 450cv 4p
009189-8,316i 1.6 TB 16V 136cv 4p
009190-1,435iA M Sport Coupe 3.0 24V 306cv 2p
009191-0,X5 XDRIVE 50i M Sport 4.4 Bi-Turbo
009192-8,X5 XDRIVE 35i Full 3.0 306cv Bi-Turbo
009193-6,M 235i Coupe 3.0 24V 326cv
009194-4,428i Cabriolet Sport 2.0 TB 245cv 2p
009195-2,i3 Rex E Drive Full 170cv Aut.(Elétrico)
009196-0,i3 Rex E Drive 170cv Aut.(Elétrico)
009197-9,i8 e-Drive 1.5 TB 12V Aut. (Híbrido)
009198-7,X4 XDRIVE 28i X-Line 2.0 Turbo 245cv Aut
009199-5,X4 XDRIVE 35i M-Sport 3.0 TB 306cv Aut.
009200-2,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.
009201-0,428i Gran Coupe M Sport 2.0 TB 245cv
009202-9,428i Gran Coupe Sport 2.0 TB 245cv
009203-7,420i Cabriolet Sport 2.0 TB 184cv 2p
009204-5,X6 XDRIVE 50i M Sport 4.4 Bi-Turbo
009205-3,X5 XDRIVE 30d Full 3.0 258cv Diesel
009206-1,M4 Coupe 3.0 Bi-Turbo 24V 431cv 2p
009207-0,X5 XDRIVE M50d 3.0 Diesel
009208-8,225i Active Tourer Sport 2.0 TB Aut.
009209-6,M3 Sedan 3.0 Bi-Turbo 24V 4p
009210-0,M4 Cabriolet 3.0 Bi-Turbo 24V 431cv 2p
009211-8,750i M Sport Sedan 4.4 V8 450cv Aut.
009212-6,120iA Sport 2.0/ActiveFlex 16V Aut.
009213-4,320iA 2.0 TB M Sport A.Flex/M.Sport 4p
009214-2,X5 XDRIVE 30d 3.0 Diesel
009215-0,328iA M Sport 2.0 16V Flex 4p
009216-9,X1 XDRIVE 25i Sport 2.0/2.0 Flex Aut.
009217-7,220i Tourer Active Flex 2.0 TB Aut.
009218-5,M2 Coupe 3.0 Bi-Turbo 24V 3p
009219-3,750iL M Sport Sedan 4.4 V8 450cv Aut.
009220-7,430i Cab. Sport Limited Ed.2.0 TB 2p
009221-5,430i Gran Coupé M Sport TB 5p
009222-3,M140i 3.0 24V 340cv 5p
009223-1,M240i Coupe 3.0 24V 340cv 2p
009224-0,430i Cabriolet Sport 2.0 TB 252cv 2p
009225-8,540i M Sport 3.0 Turbo 340cv Aut.
009226-6,530i M Sport 2.0 Turbo 252cv Aut.
009227-4,X3 M40i 3.0 Turbo V6 Aut.
009228-2,X3 XDRIVE 30i X-Line 2.0 Turbo 252cv Aut
009229-0,X2 SDRIVE 20i M Sp/M Sp 2.0 TB Flex Aut
009230-4,M4 CS Coupe 3.0 Bi-Turbo 460cv 2p
009231-2,X2 SDRIVE 20i 2.0/2.0 TB A. Flex 16V Aut
009232-0,M5 M XDRIVE 4.4 Bi-TB V8
009233-9,M5 Perform. Pack M XDRIVE 4.4 Bi-TB V8
009234-7,M2 Competition 3.0 Bi-Turbo 410cv Aut.
009235-5,X2 SDRIVE 18i 1.5 ActiveFlex 136cv Aut.
009236-3,X4 XDRIVE 30i M-Sport 2.0 Tb. 252cv Aut
009237-1,X4 M40i 3.0 Turbo 388cv Aut.
009238-0,530e M Sport 2.0 Turbo Aut. (Híbrido)
009239-8,X1 SDRIVE 20i X-Line 2.0 TB Active Flex
009240-1,330i M Sport 2.0 TB 16V 4p
009241-0,X5 XDRIVE 30d M Sport 3.0 265cv Dies Aut
009242-8,M3 CS Sedan 3.0 Bi-Turbo 460cv 4p
009243-6,750iL Pure Excellence Sedan 4.4 V8 Aut.
009244-4,330i Sport 2.0 TB 16V 4p
009245-2,Z4 Roadster sDRIVE 30i MSport 2.0 TB Aut
009246-0,M850i XDrive Coupé 4.4 V8 530cv Aut.
009247-9,i3 Rex E Drive Connected Aut. (Elétrico)
009248-7,M760Li xDrive 6.6 V12 585cv Aut.
009249-5,Z4 M40i 3.0 340cv Aut.
009250-9,X7 XDRIVE 50i M Sport 4.4 V8 Bi-TB Aut.
009251-7,530i Security
009252-5,i3 Bev 170cv Aut. (Elétrico)
009253-3,i3 Bev Connected 170cv Aut. (Elétrico)
009254-1,i3 Bev Full 170cv Aut. (Elétrico)
009255-0,X2 M35i 2.0 Turbo 306cv Aut.
009256-8,X3 M Competition 3.0 Bi-TB 510cv Aut.
009257-6,745Le M Sport Sedan 3.0 V6 Aut. (Híb.)
009258-4,118i Sport 1.5 TB 12V Aut. 5p
009259-2,i8 Road. e-Drive 1.5 TB 12V Aut. (Híb.)
009260-6,X4 M Competition 3.0 Bi-TB 510cv Aut.
009261-4,M 135i XDRIVE 2.0 TB 306cv Aut.
009262-2,X5 XDRIVE 45e 3.0 M.Sport Aut. (Híb.)
009263-0,X6 XDRIVE 40i M Sport 3.0 Bi-Turbo
009264-9,218i Gran Coupe Sport GP 1.5 Bi-Turbo
009265-7,X7 M50i 4.4 V8 Bi-TB Aut.
009266-5,330e M Sport 2.0 Turbo Aut. (Híbrido)
009267-3,M340i XDRIVE First Ed. 3.0 Turbo Aut.
009268-1,M2 Competition Ed. Espe. 3.0 Bi-TB Mec.
009269-0,M340i XDRIVE 3.0 Turbo Aut.
009270-3,M235i XDRIVE Gran Coupé 2.0 Aut.
009271-1,X3 XDRIVE 30e Turbo Aut. (Híbrido)
009272-0,X3 XDRIVE 30e X-Line Turbo Aut. (Híb.)
009273-8,M8 Gran Coupé Comp.First ED. 4.4 V8 32V
009274-6,X5 XDRIVE M50i 4.4 Bi-Turbo Aut.
009275-4,X1 SDRIVE 20i M S. 2.0 25 Anos TB Flex
009276-2,M2 CS Coupe 3.0 Bi-Turbo 450cv
009277-0,X7 M50i Dark Shadow 4.4 V8 Bi-TB Aut.
009278-9,430i Cabriolet M Sport 2.0 TB 258cv 2p
009279-7,M5 Competition M XDRIVE 4.4 Bi-TB V8
009280-0,M3 Competition M 3.0 Bi-TB 510cv
009281-9,M3 Competition M Track 3.0 Bi-TB
009282-7,X5 M Competition 4.4 V8 Bi-TB Aut.
009283-5,M8 Gran Coupé Competition 4.4 V8 32V
009284-3,M440i Coupe 3.0 TB Aut.
009285-1,X6 M Competition 4.4 V8 BI-TB 625CV Aut.
009286-0,X3 XDRIVE 30e M Sport Turbo Aut. (Híb.)
009287-8,X3 XDRIVE 30e M SP Launch Ed. TB (Híb.)
009288-6,X1 SDRIVE 20i M Sport 2.0 TB Flex Aut.
009290-8,420i Cabriolet M Sport 2.0 TB 16V 2p.
009291-6,X6 XDRIVE 40i Bl.Vermillion 3.0 Bi-Turbo
009292-4,X4 M40i 3.0 M Sport Edit V6 Turbo Aut.
009293-2,iX XDrive 40 Aut. (Elétrico)
009294-0,X3 M40i 3.0 M Sport Edit. V6 Turbo Aut.
009295-9,i3 Bev Un. Forever 170cv Aut. (Életrico)
009296-7,iX XDrive 50 Sport Aut. (Elétrico)
009297-5,iX 3 M Sport Aut.(Elétrico)
009298-3,118i M Sport 1.5 TB 12V Aut. 5p
009299-1,530e Luxury 2.0 Turbo (Híbrido)
009300-9,X1 SDRIVE 20i Outdoor 2.0.Flex Aut.
009301-7,i4 e-Drive 40 M Sport (Elétrico)
009302-5,i4 M50 (Elétrico)
009303-3,X1 SDRIVE 20i X-Line 2.0 TB Aut.
009304-1,X1 SDRIVE 18i GP 1.5 TB Aut.
009305-0,X1 SDRIVE 20i M Sport 2.0 TB Aut.
009306-8,i4 e-Drive 35 M Sport (Elétrico)
009307-6,X5 XDRIVE 50e 3.0 M Sport Aut. (Hibrido)
009308-4,X5 XDRIVE 50e 3.0 X-Line Aut. (Hibrido)
009309-2,iX 1 xDrive 30 M Sport (Elétrico)
009310-6,X6 XDRIVE 40i M Sport 3.0 Bi-TB (Hib.)
009311-4,X6 M Competition 4.4 V8 BI-TB (Hib) Aut.
009312-2,iX M60 (Elétrico)
009313-0,i7 XDrive 60 M Sport Aut. (Elétrico)
009315-7,M2 Coupe Track 3.0 Bi-Turbo 24V 460cv 3p
039001-1,Buggy/M-8/M-8 Long 1.6
039002-0,Buggy W. Turing/Luxo/M-11 Absolut 1.6 8V
062001-7,Buggy IV e V
062002-5,Buggy VII/VII BIG/VII Flex
094001-1,Stark Mountaim 2.3 AWD TDI Diesel 3p 
094002-0,Stark Superação 2.3 AWD 2.3 TDI Die. 3p
041001-2,Deville/Eldorado 4.9
041002-0,Seville 4.6
093001-6,Tiggo 3X Plus 1.0 Turbo Flex Aut.
093002-4,Tiggo 3X Pro 1.0 Turbo Flex Aut.
093003-2,ARRIZO 6 PRO 1.5 Turbo Flex Aut.
093004-0,Tiggo 7 Pro 1.6 Turbo 16V Aut. 
093005-9,Tiggo 5X PRO 1.5 Turbo Flex Aut.
093006-7,Tiggo 8 FOUNDER S EDITION 1.6 TGDi Aut.
093007-5,iCar EQ1 TECH (Elétrico)
093008-3,Tiggo 5X PRO 1.5 Turbo (Híbrido)
093009-1,Tiggo 7 PRO 1.5 Turbo (Híbrido) 
093010-5,Tiggo 8 PRO 1.5 Turbo (Híbrido) 
093011-3,Tiggo 7 Pro Max Drive 1.6 Turbo 16V Aut.
093012-1,ARRIZO 6 PRO 1.5 Turbo (Híbrido)
093013-0,Tiggo 8 Max Drive 1.6 Turbo Aut.
093014-8,Tiggo 5X SPORT 1.5 Turbo Flex Aut.
093015-6,Tiggo 5X PRO Max Drive1.5 TB (Híbrido)
093016-4,Tiggo 7 Pro Max Drive 1.5 TB (Hibrido)
042001-8,Javali 3.0 4x4 Diesel
064001-8,Family 1.0 8V 53cv (Perua)
064002-6,Cargo 1.0 8V 53cv (Pick-Up)
064003-4,Cargo CE 1.0 8V 53cv (Pick-Up)
064004-2,Cargo CD 1.0 8V 53cv (Pick-Up)
064005-0,Utility 1.0 8V 53cv (Furgão)
081001-0,MINI STAR CS 1.0 8V 53cv (Pick-Up)
081002-9,MINI STAR CSB 1.0 8V 53cv (Pick-Up Báu)
081003-7,MINI STAR CE 1.0 8V 53cv (Pick-Up)
081004-5,MINI STAR CD 1.0 8V 53cv (Pick-Up)
081005-3,MINI STAR Utility 1.0 8V 53cv (Furgão)
081006-1,MINI STAR Family 1.0 8V 53cv (MiniVan)
073001-7,Tiggo 2.0 16V Mec. 5p
073002-5,Face 1.3 16V/1.3 16V Flex.Mec.
073003-3,CIELO 1.6 16V 119cv 5p
073004-1,CIELO Sedan 1.6 16V 119cv 4p
073005-0,QQ 1.1/1.0 12V 69cv 5p
073006-8,S-18 1.3 16V Flex Mec. 5p
073007-6,Celer Hatch 1.5 16V Flex 5p
073008-4,Celer Sedan 1.5 16V Flex 5p
073009-2,Tiggo 2.0 16V Aut. 5p
073010-6,QQ 1.0 ACT 12V 69cv 5p
073011-4,QQ 1.0 Look FL 12V/1.0 12V Flex 5p
073012-2,Celer Hatch ACT 1.5 16V Flex 5p
073013-0,Celer Sedan ACT 1.5 16V Flex 5p
073014-9,QQ 1.0 ACT FL 12V/1.0 12V Flex 5p
073015-7,QQ 1.0 SMILE 12V Flex 5p
073016-5,Tiggo 2 ACT 1.5 16V Flex Mec. 5p
073017-3,Tiggo 2 Look 1.5 16V Flex Mec. 5p
073018-1,Tiggo 2 ACT 1.5 16V Flex Aut.5p
073019-0,Tiggo 2 Look 1.5 16V Flex Aut.5p
073020-3,ARRIZO 5 RX 1.5 16V Turbo Flex Aut.
073021-1,ARRIZO 5 RXT 1.5 16V Turbo Flex Aut.
073022-0,Tiggo 5X TXS 1.5 16V Turbo Flex Aut.
073023-8,Tiggo 5X T 1.5 16V Turbo Flex Aut.
073024-6,Tiggo 7 T 1.5 16V Turbo Flex Aut.
073025-4,Tiggo 7 TXS 1.5 16V Turbo Flex Aut.
073026-2,ARRIZO 5 RT 1.5 Turbo Flex Aut.
073027-0,ARRIZO 5 RTS 1.5 Turbo Flex Aut.
073028-9,ARRIZO 6 GSX 1.5 Turbo Flex Aut.
073029-7,Tiggo 8 TXS 1.6 16V TGDi Aut.
073030-0,Tiggo 2 EX 1.5 16V Flex Aut. 5p
073031-9,ARRIZO 5 RXS 1.5 Turbo Flex Aut.
073032-7,ARRIZO 5e (Elétrico)
073033-5,Tiggo 2 SMILE 1.5 16V Flex Aut.
004001-0,Corsa Wind 1.0 MPFI / EFI 2p
004002-9,Corsa Super 1.0 MPFI / 2p e 4p
004003-7,Corsa Pick-Up GL/ Champ 1.6 MPFI / EFI
004004-5,Corsa GL 1.6 MPFI / 1.4 EFI 2p e 4p
004005-3,Corsa Sedan GL 1.6 MPFI 4p
004006-1,Corsa Sedan GLS 1.6 16V MPFI 4p
004007-0,Corsa Wagon GL 1.6 MPFI 4p
004008-8,Corsa Wagon GLS 1.6 16V MPFI 4p
004009-6,Kadett GLS 2.0 MPFI
004010-0,Omega GLS 2.2 / 2.0
004011-8,Omega CD 4.1 / 3.0
004012-6,S10 Pick-Up Std. 2.2 MPFI / EFI
004013-4,S10 Pick-Up Luxe 2.2 MPFI / EFI
004014-2,S10 Pick-Up Luxe 4.3 V6
004015-0,S10 Pick-Up Luxe 2.2 MPFI/EFI CE
004016-9,S10 Pick-Up Luxe 4.3 V6 CE
004017-7,S10 Pick-Up Luxe 4.3 V6 CD
004018-5,S10 Blazer Std. 2.2 MPFI / EFI
004019-3,S10 Blazer DLX 2.2 MPFI / EFI
004020-7,S10 Blazer DLX 4.3 V6
004021-5,S10 Blazer Std. 2.5 Diesel Turbo
004022-3,S10 Blazer DLX 2.5 Diesel Turbo
004023-1,A-20 Custom/ C-20 S 4.1
004024-0,A-20 Custom/ C-20 Luxe 4.1
004025-8,Bonanza S / Luxe 4.1
004026-6,Bonanza S / Luxe 4.0 Diesel Turbo
004027-4,Caravan Comodoro 4.1/2.5
004028-2,Caravan Diplomata 4.1/2.5
004029-0,Chevette Junior 1.0
004030-4,Chevette L / SL / SL/e / DL / SE 1.6
004031-2,Chevy 500 DL / SL / SE/ Furgão 1.6
004032-0,Corsa Sedan GLS 1.6 MPFI 4p
004033-9,Corsa GSi 16V
004034-7,D-20 S / Luxe 3.9/4.0 Diesel
004035-5,D-20 S / Luxe 3.9/4.0 T.Diesel
004036-3,D-20 S / El Caminho 3.9/4.0 CD T.Dies
004037-1,D-20 CD Lx S4T/Tro.Plus/Lx 3.9/4.0 TDies
004038-0,Ipanema GL 1.8 MPFI / EFI /SL 4p
004039-8,Ipanema GL/ Flair 2.0 MPFI / EFI 4p
004040-1,Ipanema GLS/SLE 2.0EFI /SL/e1.8/Sol/Wave
004041-0,Kadett GL/SL/Lite/Turim 1.8
004042-8,Kadett GL 2.0 MPFI / EFI
004043-6,Kadett GLS 1.8 EFI / SL/e 1.8
004044-4,Kadett GSi / GS 2.0
004045-2,Kadett GSi 2.0 Conversível
004046-0,Kadett Sport 2.0 MPFI / EFI
004047-9,Monza GL 1.8 EFI/ SL/ L/ 650/Barc. 2e4p
004048-7,Monza Classic/ SL/e/SR 1.8
004049-5,Monza GL 2.0 EFI/SL/L/650/Club/Barc.2e4p
004050-9,Monza GLS/ Hi-Tech 2.0 EFI 2p e 4p
004051-7,Monza Classic SE 2.0 /MPFI e EFI 2p e 4p
004052-5,Omega GL 2.0/ 2.2
004053-3,Omega GLS 4.1
004054-1,Opala Comodoro/Comod. SLE 4.1/2.5
004055-0,Opala Diplomata/Diplom. SLE 4.1/2.5
004056-8,S10 Pick-Up Luxe 2.2 EFI CD
004057-6,S10 Pick-Up Std. 2.5 Diesel Turbo
004058-4,S10 Pick-Up Luxe 2.5 Diesel Turbo
004059-2,S10 Pick-Up Luxe 2.5 CE TB Diesel
004060-6,S10 P-Up Luxe 2.5 4x2 CD TB Max HST Dies
004061-4,Suprema GL 2.0
004062-2,Suprema GLS 2.2 / 2.0
004063-0,Suprema GLS 4.1
004064-9,Suprema CD 4.1 / 3.0
004065-7,Vectra GL 2.2 / 2.0 MPFI
004066-5,Vectra GLS/Expres.2.2/ 2.0 e 2.0 CD 8V
004067-3,Vectra CD 2.2 16V / 2.0 16V Mec./Aut.
004068-1,Vectra CD 2.0 (modelo antigo)
004069-0,Vectra GSi 2.0 16V (modelo antigo)
004070-3,Veraneio S / Luxe 4.1
004071-1,Veraneio S/ Luxe 4.0 Dies./TB Dies.
004072-0,Astra GLS 2.0 MPFI
004073-8,Astra GLS 2.0 MPFI SW
004074-6,Calibra 16V
004075-4,Lumina
004076-2,Silverado
004077-0,Trafic Chassi Longo Diesel
004078-9,Trafic Furgão Carga 2.1 Diesel
004079-7,Trafic Passageiros 2.1 Diesel
004080-0,Corsa Sedan Super 1.0 MPFI 4p
004081-9,Astra GL 1.8 MPFI 3p
004082-7,Astra 2.0/ CD/ Sunny/ GLS 2.0 8V 3p
004083-5,Astra Sedan 2.0/CD/ GLS/ Adv. 2.0 16V 4p
004084-3,Astra Sedan GL 1.8 MPFI 4p
004085-1,Corsa GLS 1.6 MPFI 5p
004086-0,Corsa Pick-Up STD/ Rodeio 1.6 MPFI
004087-8,Corsa Super 1.0 MPFI 16V 3p
004088-6,Silverado Grand Blazer DLX 4.1 mpfi
004089-4,Silverado G. Blazer DLX/ Std 4.2 Dies.TB
004090-8,Omega CD 3.8 V6
004091-6,S10 Blazer Executive 4.3 V6
004092-4,S10 Pick-Up Std. 2.2 MPFI CD
004093-2,S10 Pick-Up 2.5 4x2 CD TB Max HST Dies
004094-0,Silverado 4.1
004095-9,Silverado 4.1 Diesel
004096-7,Silverado 4.2 Turbo Diesel
004097-5,Silverado DLX 4.1
004098-3,Silverado DLX 4.2 Diesel
004099-1,SpaceVan Furgão 2.2
004100-9,SpaceVan Passageiro 2.2
004101-7,SpaceVan Passageiro 2.1Diesel
004102-5,Tigra 1.6 16V
004103-3,Omega Diamond
004104-1,Opala L/SL/SS/ 2.5/4.1
004105-0,S10 Pick-Up Champ 4.3 V6
004106-8,Saturn SL
004107-6,SpaceVan Furgão 2.1 Diesel
004108-4,Suprema Diamond
004109-2,Silverado Conquest 4.1 Diesel
004110-6,Silverado Conquest 4.2 Diesel Turbo
004111-4,Camaro Z-28 Targa/Conv. 5.7
004112-2,Corsa Wagon Super 1.0 MPFI 16V
004113-0,A-10 2.5/4.1
004114-9,A-10 De Luxe 2.5/4.1
004115-7,C-10 2.5/4.1
004116-5,C-10 De Luxe 2.5/4.1
004117-3,Brasinca Blazer CD 4.1
004118-1,D-10 Diesel
004119-0,Marajo SL/SLe/Se
004120-3,Astra GL Milenium 1.8 MPFI 4p
004121-1,Corsa Sed.Wind 1.0/Millenium/Classic VHC
004122-0,Corsa Sedan Super Milenium 1.0 MPFI 16V
004123-8,Tigra Power Tech Coupe 1.6 SFI
004126-2,A-20 Custom Std. CD/ De Luxe CD
004127-0,C-10 CD 2.5/ 4.1
004128-9,C-10 De Luxe CD 2.5/ 4.1
004129-7,C-20 Custom De Luxe 4.1
004130-0,C-20 Custom Std. 4.1
004131-9,C-20 Custom De Luxe CD 4.1
004132-7,C-20 Custom Std. CD 4.1
004133-5,Caprice 4.3 V8
004134-3,Caprice SW 4.3 V8
004135-1,Caprice Victoria
004137-8,Caravan L/SL/S/SS 2.5/4.1/4.2
004138-6,Cavalier 3.1 Conv.
004139-4,Cavalier L 2.0
004140-8,"Corvette 5.7/ 6.0, 6.2 Conv./Stingray"
004141-6,"Corvette 5.7/ 6.0, 6.2 Targa/Stingray"
004142-4,D-20 4.0 Champ/Conquest/El Caminho Dies.
004143-2,Monza 1.6i/1.8i (restante)
004144-0,S10 Pick-Up 2.5 4x4 CD TB Max HST Dies.
004145-9,S10 P-Up Luxe 2.5 4x4 CD TB Max HST Dies
004146-7,S10 Pick-Up Executive CD 4.3
004147-5,S10 Pick-Up Executive CD 4.3 4x4
004148-3,Silverado Tropical CD 4.1 MPFI
004149-1,Silverado Tropical CD 4.1 Diesel
004150-5,Silverado Tropical CD 4.2 Diesel
004151-3,Silverado Sport/ Fleet Side 5.7 CS
004152-1,Silverado Sport/Fleet Side 6.5 Dies. CS
004153-0,Suburban 5.7/6.5 V8/5.3 V8
004155-6,Camaro RS 5.0 V8
004156-4,Camaro Sport 5.0 Conv.
004158-0,Blazer Jimmy 4.3 V6
004159-9,Blazer S-10 4.3 V6
004160-2,Blazer SS-10 4.3 V6
004161-0,Cheynne 4.3 V6
004162-9,S10 Pick-Up 4.3 V6
004163-7,SS10 Pick-Up 4.3 V6
004164-5,Sierra CE 5.7 V8
004165-3,Sierra Sport 5.0 V8
004166-1,Sonoma CE 4.3 V6
004167-0,Syclone 5.7 V8
004168-8,Astra Sedan 2.0/CD/ Expres.GLS 2.0 8V 4p
004169-6,Astra 2.0/ CD/ GLS 2.0 MPFI 16V 3p
004171-8,Corsa Sedan Super 1.0 MPFI 16V 4p
004172-6,Corsa Super 1.0 MPFI 16V 5p
004173-4,Corsa Wind 1.0 MPF/MilleniumI/ EFI 4p
004174-2,S10 Pick-Up 2.8 4x2 Turbo Interc. Dies.
004175-0,S10 P-Up 2.8/Sert. 2.8 4x4 TB Int. Dies.
004176-9,S10 Pick-Up Luxe 2.8 4x2 CD TB Int.Dies.
004177-7,S10 P-Up Lx/Sert/Rod 2.8 4x4 CD TDI Dies
004178-5,S10 Pick-Up Std 2.8 4x2 CD TB Int.Dies.
004179-3,S10 Pick-Up Std 2.8 4x4 CD TB Int.Dies.
004180-7,Silverado DLX 4.2 Conquest HD Diesel
004181-5,Vectra GL 2.2 MPFI Milenium
004182-3,Vectra GLS/ Challenge 2.2 MPFI 16V
004183-1,Brasinca Blazer CD 4.0 Diesel
004184-0,D-10 CD Diesel
004186-6,Corsa Wagon GLS 1.6 8V 4p
004187-4,D-20 S 3.9/4.0 Turbo Diesel
004188-2,Trafic Furgao Carga 2.2
004189-0,Trafic Passageiros 2.2
004190-4,S10 Blazer 4.3 V6
004191-2,Monza Class 1.8/ 2.0
004193-9,S10 Blazer DLX 2.8 4x4 TB Interc. Diesel
004194-7,Astra 500 Sedan 2.0 MPFI 16V 4p
004195-5,Astra S.Sport 2.0 F.Pow. 5p/Sport 2.0 3p
004196-3,Silverado D20/ Rodeio 4.2 TB Diesel
004197-1,Corsa Wind 1.6 MPFi 2p
004198-0,Corsa Wind 1.6 MPFi 4p
004199-8,Corsa Furgão 1.6 MPFi Powertech 92cv
004200-5,Monza SL/e SR 2.0
004201-3,S10 Pick-Up Barretos 2.2 MPFI 2p
004202-1,Celta 1.0/Super/N.Piq.1.0 MPFi VHC 8V 3p
004203-0,Corsa Wind Piquet/ Champ 1.0 MPFI 2p
004204-8,S10 Blazer 2.4 MPFI 8V 128cv 4p
004205-6,S10 Pick-Up 2.4 MPFI 8v 128cv/ Rodeio
004206-4,S10 Pick-Up 2.4 MPFI 8v 128cv CD 4p
004207-2,Corsa Super 1.6 MPFI 8v 5p
004208-0,Corsa Sedan Sup./Classic 1.6 8v Aut/Mec
004209-9,Corsa Wagon Super 1.6 MPFI 8v
004210-2,TRACKER 2.0 TB Int. Diesel 4x4 4p
004211-0,Zafira 2.0/ CD 2.0 8V MPFI 5p Mec.
004212-9,Zafira 2.0/ CD 2.0 16V MPFI 5p
004213-7,Corsa Pick-Up Sport 1.6 MPFI
004214-5,Silverado Trop. SL/ Van T.Diesel (todas)
004215-3,Astra Sedan 2.0/ CD 2.0 MPFI 8V 4p Aut.
004216-1,Astra Sedan 1.8 MPFI 8V 4p
004217-0,S10 Pick-Up Exec. 2.8 4x4 CD TB Int.Dies
004218-8,Corsa Hatchback 1.0 MPFI 8V 71cv 5p
004219-6,Corsa Sedan 1.0 MPFI 8V 71cv 4p
004220-0,Corsa Hatchback 1.8 MPFI 8V 102cv 5p
004221-8,Corsa Sedan 1.8 MPFI 8V 102cv 4p
004222-6,Zafira 2.0/ CD 2.0 8V MPFI 5p Aut.
004223-4,Astra 2.0/ CD 2.0 8V 3p Aut.
004226-9,S10 Blazer DTi 2.8 4x2 Turbo Diesel
004227-7,Celta 1.0/ Super 1.0 MPFI VHC 8v 5p
004228-5,Meriva 1.8/ CD 1.8 MPFI 8V 102cv 5p
004229-3,Meriva 1.8/ CD 1.8 MPFI 16V 122cv 5p
004230-7,Astra GSi 2.0 16V 136cv Hatchback 5p
004231-5,Astra 2.0 8V/ CD 2.0 8V Hatchback 5p Mec
004232-3,Astra 2.0 8V/ CD 2.0 8V Hatchback 5p Aut
004233-1,Corsa Hatchback 1.8 MPFI FlexPower 8V 5p
004234-0,Corsa Sedan 1.8 MPFI FlexPower 8V 4p
004235-8,Celta 1.4/ Super/ Energy 1.4 8V 85cv 3p
004236-6,Celta 1.4/ Super/ Energy 1.4 8V 85cv 5p
004237-4,S10 Blazer DLX 2.4 MPFI 128cv 4p
004238-2,S10 Pick-Up DLX 2.4 MPFI 128cv CD 4p
004239-0,MONTANA 1.8/ 1.8 Conquest FlexPower 8V
004240-4,MONTANA Sport 1.8 MPFI FlexPower 8V
004241-2,MONTANA Off Road 1.8 MPFI FlexPower 8V
004242-0,Meriva 1.8/ CD 1.8 MPFI FlexPower 8V
004243-9,Vectra Expres./ Collection 2.0 MPFI 8V
004244-7,S10 Blazer Executive 2.8 4x4 TDI Diesel
004245-5,Zafira Comfort 2.0 MPFI FlexPower 8V 5p
004246-3,Zafira Elegance 2.0 MPFI FlexPower 8V 5p
004247-1,Zafira Eleg.2.0 MPFI FlexPower 8V 5p Aut
004248-0,Zafira Elite 2.0 MPFI FlexPower 8V 5p
004249-8,Zafira Elite 2.0 MPFI FlexPower 8V Aut
004250-1,Zafira Elegance 2.0 MPFI 16v 136cv 5p
004251-0,Zafira Elite 2.0 MPFI 16v 136cv 5p
004252-8,Astra Comfort 2.0 MPFI FlexPower 8V 3p
004253-6,Astra Elegance 2.0 MPFI FlexPower 8V 3p
004254-4,Astra Comfort 2.0 MPFI FlexPower 8V 5p
004255-2,Astra Elegance 2.0 MPFI FlexPower 8V 5p
004256-0,Astra Eleg. 2.0 MPFI FlexPower 8V 5p Aut
004257-9,Astra Elite 2.0 MPFI FlexPower 8V 5p Mec
004258-7,Astra Sed.Comf. 2.0 MPFI FlexPower 8V 4p
004259-5,Astra Sed.Eleg.2.0 MPFI FlexPower 8V 4p
004260-9,Astra Sed.Eleg. 2.0 MPFI FlexP.8V Aut.
004261-7,Astra Sed.Elite 2.0 MPFI FlexPower 8V 4p
004262-5,Astra Sed.Elite 2.0 MPFI FlexP.8V Aut.
004263-3,Astra Sedan Comfort 1.8 MPFI 8V 4p
004264-1,Celta Life 1.0 MPFI VHC 8V 3p
004265-0,Celta Spirit 1.0 MPFI VHC 8V 3p
004266-8,Celta Life 1.0 MPFI VHC 8V 5p
004267-6,Celta Spirit 1.0 MPFI VHC 8V 5p
004268-4,Celta Life 1.4 MPFI 8V 85cv 3p
004269-2,Celta Spirit 1.4 MPFI 8V 85cv 3p
004270-6,Celta Life 1.4 MPFI 8V 85cv 5p
004271-4,Celta Spirit 1.4 MPFI 8V 85cv 5p
004272-2,Corsa Sed Class.Life 1.0/1.0 FlexPower
004273-0,Corsa Sed Class.Spirit 1.0/1.0 FlexPower
004274-9,Corsa Sed Class.Super 1.0/1.0 FlexPower
004275-7,Corsa Sed Classic Life 1.6 MPFI VHC 8V
004276-5,Corsa Sed Classic Spirit 1.6 MPFI VHC 8V
004277-3,Corsa Sed Classic Super 1.6 MPFI VHC 8V
